epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0381,1.92364,2.75992,1.83919,0.02778,0.91743,0.33759,0.18538,1.22958,2.91246,1.17987,0.00024,0.00024,0.00024
2,79.7409,1.77482,2.29328,1.70631,0.02833,0.93578,0.4065,0.22744,1.20562,2.84048,1.19786,0.0004901,0.0004901,0.0004901
3,116.252,1.69386,1.80849,1.63883,0.47034,0.19266,0.25804,0.11289,1.4461,2.5931,1.40378,0.000729904,0.000729904,0.000729904
4,160.126,1.77842,1.67725,1.70966,0.48383,0.26606,0.27903,0.15416,1.78335,2.34148,1.53636,0.000959412,0.000959412,0.000959412
5,202.453,1.78939,1.67679,1.70841,0.47654,0.27523,0.35355,0.18264,1.71178,2.36481,1.54641,0.00117862,0.00117862,0.00117862
6,240.208,1.67143,1.57735,1.6332,0.5426,0.47706,0.4877,0.27044,1.56797,1.9305,1.54591,0.00138754,0.00138754,0.00138754
7,281.056,1.6652,1.58567,1.62181,0.59238,0.58716,0.64034,0.31703,1.57349,1.88355,1.57061,0.00158616,0.00158616,0.00158616
8,323.981,1.68174,1.5328,1.62683,0.53451,0.40367,0.38729,0.13931,2.17527,2.22422,1.97755,0.0017228,0.0017228,0.0017228
9,355.73,1.72785,1.55421,1.67759,0.36742,0.54128,0.37846,0.1724,1.68072,1.90096,1.61501,0.0016832,0.0016832,0.0016832
10,389.354,1.65508,1.5245,1.62112,0.6945,0.63303,0.71463,0.37573,1.54604,1.52694,1.52124,0.0016436,0.0016436,0.0016436
11,421.526,1.61743,1.47301,1.60559,0.64793,0.62385,0.66419,0.34465,1.63065,1.49212,1.4946,0.001604,0.001604,0.001604
12,452.804,1.59874,1.46367,1.60638,0.79369,0.76147,0.8222,0.42815,1.49427,1.35352,1.50983,0.0015644,0.0015644,0.0015644
13,492.234,1.60968,1.38921,1.60585,0.82109,0.77982,0.83649,0.45073,1.44929,1.30642,1.45797,0.0015248,0.0015248,0.0015248
14,534.656,1.53706,1.35054,1.54394,0.78734,0.78122,0.82163,0.43985,1.46929,1.45255,1.46572,0.0014852,0.0014852,0.0014852
15,570.663,1.54363,1.34273,1.54963,0.80309,0.81651,0.85488,0.43739,1.48934,1.71041,1.46081,0.0014456,0.0014456,0.0014456
16,604.167,1.56557,1.37338,1.57292,0.85088,0.83762,0.88082,0.4901,1.44289,1.14773,1.40995,0.001406,0.001406,0.001406
17,636.689,1.49229,1.3092,1.51242,0.84928,0.86239,0.8941,0.49089,1.49757,1.20469,1.44168,0.0013664,0.0013664,0.0013664
18,668.739,1.46325,1.25056,1.47755,0.81639,0.77508,0.84969,0.45843,1.46663,1.15527,1.43751,0.0013268,0.0013268,0.0013268
19,701.868,1.46285,1.24866,1.48465,0.89991,0.79817,0.88659,0.46702,1.48517,1.12264,1.43042,0.0012872,0.0012872,0.0012872
20,735.065,1.48394,1.22894,1.48936,0.90123,0.87156,0.90141,0.50404,1.36285,1.04799,1.36155,0.0012476,0.0012476,0.0012476
21,770.066,1.52745,1.25494,1.51219,0.87575,0.87156,0.89852,0.49606,1.32319,1.08682,1.33625,0.001208,0.001208,0.001208
22,808.463,1.46211,1.21081,1.49505,0.91182,0.85384,0.90844,0.53979,1.32662,0.96319,1.32028,0.0011684,0.0011684,0.0011684
23,849,1.39642,1.24817,1.45922,0.90755,0.89908,0.93241,0.57331,1.26936,0.95582,1.31476,0.0011288,0.0011288,0.0011288
24,891.715,1.38571,1.16347,1.44443,0.92321,0.88239,0.95347,0.53831,1.33424,1.01502,1.31951,0.0010892,0.0010892,0.0010892
